"day","statename","PriceD","VolumeD","PriceR","VolumeR","state"
"2011-01-24","Alabama",0,0,0,0,"AL"
"2011-01-24","Alaska",0,0,0,0,"AK"
"2011-01-24","Arizona",0,0,0,0,"AZ"
"2011-01-24","Arkansas",0,0,0,0,"AR"
"2011-01-24","California",0,0,0,0,"CA"
"2011-01-24","Colorado",0,0,0,0,"CO"
"2011-01-24","Connecticut",0,0,0,0,"CT"
"2011-01-24","Delaware",0,0,0,0,"DE"
"2011-01-24","Florida",0,0,0,0,"FL"
"2011-01-24","Georgia",0,0,0,0,"GA"
"2011-01-24","Hawaii",0,0,0,0,"HI"
"2011-01-24","Idaho",0,0,0,0,"ID"
"2011-01-24","Illinois",0,0,0,0,"IL"
"2011-01-24","Indiana",0,0,0,0,"IN"
"2011-01-24","Iowa",0,0,0,0,"IA"
"2011-01-24","Kansas",0,0,0,0,"KS"
"2011-01-24","Kentucky",0,0,0,0,"KY"
"2011-01-24","Louisiana",0,0,0,0,"LA"
"2011-01-24","Maine",0,0,0,0,"ME"
"2011-01-24","Maryland",0,0,0,0,"MD"
"2011-01-24","Massachusetts",0,0,0,0,"MA"
"2011-01-24","Michigan",0,0,0,0,"MI"
"2011-01-24","Minnesota",0,0,0,0,"MN"
"2011-01-24","Mississippi",0,0,0,0,"MS"
"2011-01-24","Missouri",0,0,0,0,"MO"
"2011-01-24","Montana",0,0,0,0,"MT"
"2011-01-24","Nebraska",0,0,0,0,"NE"
"2011-01-24","Nevada",0,0,0,0,"NV"
"2011-01-24","New Hampshire",0,0,0,0,"NH"
"2011-01-24","New Jersey",0,0,0,0,"NJ"
"2011-01-24","New Mexico",0,0,0,0,"NM"
"2011-01-24","New York",0,0,0,0,"NY"
"2011-01-24","North Dakota",0,0,0,0,"ND"
"2011-01-24","Ohio",0,0,0,0,"OH"
"2011-01-24","Oklahoma",0,0,0,0,"OK"
"2011-01-24","Oregon",0,0,0,0,"OR"
"2011-01-24","Pennsylvania",0,0,0,0,"PA"
"2011-01-24","Rhode Island",0,0,0,0,"RI"
"2011-01-24","South Carolina",0,0,0,0,"SC"
"2011-01-24","South Dakota",0,0,0,0,"SD"
"2011-01-24","Tennessee",0,0,0,0,"TN"
"2011-01-24","Texas",0,0,0,0,"TX"
"2011-01-24","Utah",0,0,0,0,"UT"
"2011-01-24","Vermont",0,0,0,0,"VT"
"2011-01-24","Virginia",0,0,0,0,"VA"
"2011-01-24","Washington",0,0,0,0,"WA"
"2011-01-24","West Virginia",0,0,0,0,"WV"
"2011-01-24","Wisconsin",0,0,0,0,"WI"
"2011-01-24","Wyoming",0,0,0,0,"WY"
"2011-01-25","Alabama",0,0,0,0,"AL"
"2011-01-25","Alaska",0,0,0,0,"AK"
"2011-01-25","Arizona",0,0,0,0,"AZ"
"2011-01-25","Arkansas",0,0,0,0,"AR"
"2011-01-25","California",0,0,0,0,"CA"
"2011-01-25","Colorado",0,0,0,0,"CO"
"2011-01-25","Connecticut",0,0,0,0,"CT"
"2011-01-25","Delaware",0,0,0,0,"DE"
"2011-01-25","Florida",0,0,0,0,"FL"
"2011-01-25","Georgia",0,0,0,0,"GA"
"2011-01-25","Hawaii",0,0,0,0,"HI"
"2011-01-25","Idaho",0,0,0,0,"ID"
"2011-01-25","Illinois",0,0,0,0,"IL"
"2011-01-25","Indiana",0,0,0,0,"IN"
"2011-01-25","Iowa",0,0,0,0,"IA"
"2011-01-25","Kansas",0,0,0,0,"KS"
"2011-01-25","Kentucky",0,0,0,0,"KY"
"2011-01-25","Louisiana",0,0,0,0,"LA"
"2011-01-25","Maine",0,0,0,0,"ME"
"2011-01-25","Maryland",0,0,0,0,"MD"
"2011-01-25","Massachusetts",0,0,0,0,"MA"
"2011-01-25","Michigan",0,0,0,0,"MI"
"2011-01-25","Minnesota",0,0,0,0,"MN"
"2011-01-25","Mississippi",0,0,0,0,"MS"
"2011-01-25","Missouri",0,0,0,0,"MO"
"2011-01-25","Montana",0,0,0,0,"MT"
"2011-01-25","Nebraska",0,0,0,0,"NE"
"2011-01-25","Nevada",0,0,0,0,"NV"
"2011-01-25","New Hampshire",0,0,0,0,"NH"
"2011-01-25","New Jersey",0,0,0,0,"NJ"
"2011-01-25","New Mexico",0,0,0,0,"NM"
"2011-01-25","New York",0,0,0,0,"NY"
